trans_id,time,subtotal,tip,total
B963-8294,9:30 AM,,,
B461-8487,8:17 AM,,,
B832-4325,6:03 AM,,,
B582-7667,2:33 AM,,,
B554-1345,8:38 AM,,,
B546-0053,1:43 PM,,,
B503-1991,3:02 AM,,,
B576-0109,10:59 AM,,,
B614-2854,4:24 PM,,,
B321-4871,2:17 PM,,,
B744-3459,2:29 PM,,,
B492-1538,4:50 PM,,,
B219-7153,1:24 PM,,,
B815-3698,12:45 PM,,,
B743-4176,6:53 AM,,,
B392-3405,5:55 AM,,,
B459-8127,3:44 AM,,,
B904-3976,6:47 AM,,,
B056-0807,6:56 AM,,,
B898-2938,10:48 AM,,,
B861-3935,2:20 PM,,,
B878-6211,2:22 PM,,,
B518-1368,8:57 AM,,,
B363-1253,4:12 AM,,,
B767-0878,4:57 PM,,,
B099-7823,3:29 PM,,,
B353-4317,4:14 PM,,,
B006-8150,3:19 PM,,,
B343-1688,5:28 AM,,,
B094-5937,10:25 AM,,,
B303-0066,4:07 AM,,,
B627-5260,6:40 AM,,,
B518-7873,8:26 AM,,,
B832-2386,3:08 AM,,,
B017-9502,6:08 AM,,,
B627-2852,7:59 AM,,,
B469-5350,11:07 AM,,,
B165-6188,2:20 PM,,,
B231-1737,12:13 PM,,,
B513-3010,5:58 AM,,,
B933-4572,6:51 AM,,,
B744-1065,8:59 AM,,,
B541-5373,9:57 AM,,,
B529-4945,3:04 AM,,,
B126-8878,3:31 AM,,,
B599-6911,3:03 PM,,,
B343-6630,12:54 PM,,,
B401-7363,3:11 AM,,,
B969-9030,9:09 AM,,,
B127-0207,2:29 AM,,,
B429-1954,11:37 AM,,,
B661-3419,7:02 AM,,,
B129-2825,2:35 AM,,,
B250-3939,3:13 PM,,,
B269-5947,6:43 AM,,,
B772-9759,4:55 PM,,,
B316-6556,2:57 AM,,,
B403-2372,8:20 AM,,,
B414-9704,1:19 PM,,,
B671-6789,4:48 AM,,,
B100-5168,5:13 AM,,,
B020-3408,12:31 PM,,,
B531-1768,2:23 AM,,,
B064-1757,1:37 PM,,,
B226-4195,2:04 AM,,,
B884-8656,11:38 AM,,,
B789-1103,1:23 PM,,,
B770-1757,1:20 PM,,,
B457-1007,3:53 PM,,,
B129-6062,9:45 AM,,,
B207-3872,8:28 AM,,,
B586-8375,7:19 AM,,,
B041-8698,2:26 PM,,,
B222-2721,9:49 AM,,,
B615-8548,3:13 AM,,,
B699-7974,2:54 AM,,,
B550-1335,2:12 PM,,,
B163-7740,10:29 AM,,,
B562-5032,8:01 AM,,,
B302-9327,3:00 AM,,,
B095-9090,1:36 PM,,,
B492-0314,3:53 AM,,,
B410-7643,2:40 AM,,,
B798-5652,5:53 AM,,,
B463-1716,2:16 AM,,,
B390-8840,12:54 PM,,,
B048-5059,9:47 AM,,,
B402-4838,2:51 PM,,,
B095-0076,6:15 AM,,,
B701-8976,2:49 AM,,,
B556-7341,11:25 AM,,,
B294-2779,10:35 AM,,,
B004-6307,12:07 PM,,,
B001-2130,3:44 PM,,,
B652-5114,11:32 AM,,,
B822-2099,2:48 PM,,,
B112-3362,9:13 AM,,,
B017-6159,7:14 AM,,,
B215-7545,4:04 AM,,,
B559-4495,6:59 AM,,,
B146-6817,10:19 AM,,,
B495-5910,2:36 AM,,,
B852-5598,2:37 AM,,,
B706-3995,6:39 AM,,,
B447-5408,4:47 PM,,,
B986-9936,5:17 AM,,,
B272-8033,5:33 AM,,,
B143-2414,2:50 AM,,,
B763-5152,7:25 AM,,,
B573-0667,5:27 AM,,,
B293-0953,7:28 AM,,,
B094-9277,7:57 AM,,,
B952-9124,10:10 AM,,,
B394-8659,4:09 AM,,,
B007-9192,3:10 PM,,,
B722-5621,2:25 PM,,,
B492-5532,9:39 AM,,,
B362-9927,11:30 AM,,,
B991-5055,11:01 AM,,,
B814-9395,4:51 PM,,,
B072-5836,8:58 AM,,,
B732-5297,6:31 AM,,,
B366-7988,4:55 AM,,,
B865-4395,2:58 PM,,,
B437-2445,3:13 AM,,,
B857-4804,10:34 AM,,,
B779-2122,2:10 AM,,,
B263-5995,7:03 AM,,,
B854-2099,3:33 AM,,,
B595-1853,4:10 PM,,,
B813-8169,6:43 AM,,,
B743-8500,12:29 PM,,,
B096-3106,3:46 AM,,,
B528-9469,1:55 PM,,,
B387-4238,11:18 AM,,,
B699-4088,4:00 PM,,,
B211-0210,2:02 PM,,,
B347-7802,3:22 AM,,,
B823-9896,3:50 AM,,,
B246-1695,5:04 AM,,,
B629-5860,7:05 AM,,,
B813-3136,11:55 AM,,,
B405-6370,12:00 PM,,,
B000-5192,3:23 AM,,,
B081-9792,3:32 PM,,,
B341-5842,10:33 AM,,,
B555-4079,4:39 PM,,,
B320-0589,4:26 PM,,,
B915-9804,8:55 AM,,,
B669-3624,9:00 AM,,,
B375-8928,4:48 PM,,,
B545-7705,2:22 PM,,,
B365-4202,2:51 PM,,,
B850-9876,2:59 AM,,,
B746-1871,4:03 AM,,,
B271-6372,10:33 AM,,,
B545-4216,3:57 PM,,,
B155-1565,10:42 AM,,,
B361-3077,8:34 AM,,,
B186-1028,2:45 AM,,,
B600-3372,8:57 AM,,,
B838-0208,2:36 PM,,,
B477-5470,10:40 AM,,,
B694-9845,3:42 AM,,,
B252-9784,4:09 AM,,,
B163-0930,3:47 AM,,,
B103-8795,1:30 PM,,,
B908-2466,2:09 AM,,,
B937-8326,3:17 PM,,,
B577-3629,2:55 AM,,,
B837-0955,4:34 PM,,,
B369-5588,8:34 AM,,,
B206-3221,2:58 AM,,,
B645-8968,11:55 AM,,,
B551-1990,8:23 AM,,,
B243-2971,8:59 AM,,,
B109-3455,2:21 AM,,,
B233-4891,2:14 PM,,,
B229-9736,4:04 PM,,,
B213-2354,10:22 AM,,,
B675-0276,4:54 PM,,,
B307-7379,11:47 AM,,,
B036-4049,5:04 AM,,,
B410-6818,5:44 AM,,,
B617-2081,6:33 AM,,,
B412-0603,7:51 AM,,,
B787-9163,9:27 AM,,,
B431-2127,10:40 AM,,,
B094-6244,9:00 AM,,,
B468-6307,4:01 AM,,,
B001-2353,11:44 AM,,,
B686-3826,9:24 AM,,,
B553-4978,9:07 AM,,,
B109-9612,7:29 AM,,,
B545-3356,7:22 AM,,,
B209-6880,10:23 AM,,,
B338-0354,4:29 AM,,,
B279-2125,8:36 AM,,,
B396-0132,11:15 AM,,,
B405-6903,7:27 AM,,,
B264-7959,8:34 AM,,,
B822-0154,3:12 PM,,,
B953-7582,10:53 AM,,,
B705-0128,6:35 AM,,,
B067-6335,4:30 AM,,,
B951-2234,10:16 AM,,,
B407-0968,5:54 AM,,,
B653-1883,2:47 PM,,,
B215-6349,6:18 AM,,,
B354-2820,3:51 PM,,,
B128-8513,4:50 PM,,,
B303-0488,1:55 PM,,,
B298-3568,4:13 PM,,,
B487-0294,6:51 AM,,,
B225-0036,4:40 AM,,,
B693-9882,3:41 PM,,,
B312-5953,11:23 AM,,,
B246-4775,4:06 PM,,,
B526-0092,9:20 AM,,,
B001-8697,7:35 AM,,,
B035-1345,5:03 AM,,,
B632-9316,8:56 AM,,,
B962-3549,7:22 AM,,,
B225-0062,9:40 AM,,,
B336-9854,3:27 PM,,,
B641-7482,9:00 AM,,,
B968-8402,2:06 PM,,,
B190-9141,3:34 PM,,,
B173-4171,2:57 PM,,,
B301-0970,2:58 AM,,,
B810-7862,9:50 AM,,,
B314-3982,4:15 AM,,,
B991-2052,10:13 AM,,,
B969-3938,5:56 AM,,,
B362-5319,2:42 PM,,,
B158-2555,8:02 AM,,,
B898-1686,10:29 AM,,,
B829-5954,2:01 AM,,,
B284-5191,10:18 AM,,,
B960-5010,2:41 AM,,,
B832-1667,2:28 PM,,,
B938-0385,8:44 AM,,,
B457-3870,12:38 PM,,,
B416-7807,8:40 AM,,,
B367-6276,4:40 PM,,,
B893-1090,2:12 AM,,,
B728-9540,7:10 AM,,,
B955-4631,6:49 AM,,,
B676-3936,7:15 AM,,,
B977-3435,2:10 AM,,,
B150-0823,12:04 PM,,,
B596-1805,2:04 PM,,,
B342-4724,4:10 AM,,,
B101-6705,3:56 PM,,,
B075-8448,6:41 AM,,,
B465-4247,4:35 PM,,,
B427-4894,4:24 PM,,,
B636-2659,11:05 AM,,,
B043-5575,3:02 AM,,,
B204-2940,3:27 AM,,,
B678-6041,2:26 PM,,,
B865-6558,2:35 AM,,,
B631-0213,11:56 AM,,,
B772-5136,2:30 AM,,,
B209-6206,12:30 PM,,,
B895-8102,7:13 AM,,,
B495-0794,11:16 AM,,,
B972-8517,3:47 PM,,,
B161-1050,7:25 AM,,,
B703-2437,11:29 AM,,,
B105-4345,8:51 AM,,,
B725-5674,6:30 AM,,,
B576-2072,3:50 AM,,,
B936-4483,4:07 AM,,,
B696-0460,8:36 AM,,,
B378-6963,8:53 AM,,,
B864-3038,11:24 AM,,,
B430-2852,7:08 AM,,,
B689-1307,4:02 PM,,,
B012-6929,2:49 PM,,,
B511-2883,3:43 PM,,,
B073-2673,5:19 AM,,,
B147-5534,4:52 AM,,,
B618-2731,11:19 AM,,,
B611-7882,5:09 AM,,,
B663-3221,4:19 PM,,,
B058-4742,6:26 AM,,,
B687-6781,5:09 AM,,,
B993-7516,10:34 AM,,,
B909-5125,3:19 PM,,,
B075-8643,10:01 AM,,,
B008-1350,6:09 AM,,,
B385-1481,4:33 PM,,,
B808-4978,6:54 AM,,,
