0,1
Herve,Bud Ice
Herve,Coors Banquet
Herve,Corona Extra
Herve,Michelob Ultra
Herve,Mil's Best Ice
Herve,Pepsi
Herve,Coke
Herve,Chicken Fajita
Herve,Hamburger
Salome,Stella Artois
Salome,Miller Lite
Salome,Guinness
Salome,Busch Light
Salome,Dos Equis 
Salome,Fajita 
Salome,Cajun Fries
Salome,Chips and Salsa
Ophelie,Natural Light
Ophelie,Yuengling Lager
Ophelie,Bagel and Lox
Basil,Yuengling Lager
Basil,High Life
Basil,Root Beer
Basil,Fanta (Orange)
Basil,Bagel and Lox
Basil,Chicken Fajita
Jorey,Drop Biscuits 
Jorey,Clam Chowder
Maxine,Natural Light
Maxine,Busch
Maxine,Budweiser
Maxine,Coors Light
Maxine,Cream Soda
Maxine,Sprite
Maxine,Bean Burger
Maxine,Hominy Grits
Simon,Dos Equis 
Simon,Guinness
Simon,Stella Artois
Simon,Coke
Simon,Cream Soda
Simon,Deep Dish Pizza (Slice)
Simon,Hamburger
Simon,Clam Chowder
Abran,Miller Lite
Abran,Bud Ice
Abran,Blue Ribbon
Abran,Mil's Best Ice
Abran,Coronoa Light
Abran,Pink Lemonade
Abran,Chips and Salsa
Abran,Drop Biscuits 
Abran,Fajita 
Missie,Coors Light
Missie,Heineken 
Missie,Pink Lemonade
Missie,Root Beer
Missie,Fanta (Orange)
Missie,French Fries
Missie,Clam Chowder
Druci,Modelo Especial
Druci,Dos Equis 
Druci,Michelob Ultra
Druci,Mountain Dew
Olenka,Mil's Best Ice
Olenka,Steel Reserve
Olenka,Blue Ribbon
Olenka,Coors Light
Olenka,Fanta (Grape)
Olenka,Fanta (Orange)
Olenka,Clam Chowder
Olenka,Fajita 
Olenka,Hamburger
Benjamen,Heineken 
Benjamen,Coors Light
Benjamen,High Life
Benjamen,Mil's Best Ice
Benjamen,Bud Ice
Benjamen,Cream Soda
Benjamen,Mountain Dew
Benjamen,Hominy Grits
Hanson,Corona Extra
Hanson,Guinness
Hanson,Natural Ice
Hanson,Keystone Light
Hanson,Dr. Pepper
Hanson,Bean Burger
Nanni,Pepsi
Nanni,Dr. Pepper
Nanni,Pink Lemonade
Nanni,Mozzarella Sticks
Nanni,Cajun Fries
Pepi,Chicken Fajita
Lani,Keystone Light
Lani,Corona Extra
Lani,Dos Equis 
Lani,Bud Ice
Lani,Stella Artois
Lani,Bagel and Lox
Lani,Fajita 
Georgiana,Keystone Light
Georgiana,Pink Lemonade
Georgiana,Turkey Sandwich 
Georgiana,Tacos 
Melony,Dos Equis 
Melony,Natural Ice
Melony,Fanta (Orange)
Melony,Pepsi
Melony,Mountain Dew
Melony,Drop Biscuits 
Melony,French Fries
Melony,Texas BBQ
Merrill,Natural Light
Merrill,Budweiser
Merrill,Fanta (Orange)
Merrill,Pepsi
Merrill,Hamburger
Virginie,Keystone Light
Virginie,Natural Ice
